Date,MMWR_week,Location,Administered,Administered_5Plus,Administered_12Plus,Administered_18Plus,Administered_65Plus
2023-04-12,15,OH,21043347,20895725,20254109,19183660,6643032
2023-04-12,15,NM,4733684,4704738,4527303,4228210,1358213
2023-04-12,15,IH2,2563765,2547685,2434393,2224030,478662
2023-04-12,15,NE,3811166,3783687,3637663,3403091,1112733
2023-04-12,15,IA,6115596,6073216,5877354,5549500,2002752
2023-04-12,15,IL,26759923,26541406,25423396,23740208,6906382
2023-04-12,15,WA,17639837,17451516,16738512,15695704,4514313
2023-04-12,15,MO,10482738,10412052,10103885,9557479,3260032
2023-04-12,15,TN,11280871,11239655,10981981,10458824,3515706
2023-04-12,15,MP,118218,117400,107957,95087,10058
2023-04-12,15,WY,852206,849569,829892,789026,283568
2023-04-12,15,GA,17080681,17003167,16505989,15504264,4390936
2023-04-12,15,ME,3526641,3498317,3383369,3207392,1194110
2023-04-12,15,DC,2123480,2093366,2010336,1916532,396458
2023-04-12,15,OK,6758078,6737564,6569382,6193513,1986539
2023-04-12,15,MD,14669253,14527812,13891806,12909734,3608609
2023-04-12,15,WV,3094030,3086629,3028478,2892483,1082814
2023-04-12,15,MI,18701905,18579412,17996888,17039174,5801520
2023-04-12,15,KS,5373642,5330607,5135157,4802423,1585006
2023-04-12,15,VA2,8677707,8677517,8677494,8674057,4757280
2023-04-12,15,VT,1754720,1733813,1658535,1557070,539089
2023-04-12,15,AR,4863329,4844010,4707574,4425748,1500335
2023-04-12,15,GU,399187,398190,378549,341733,59063
2023-04-12,15,TX,52325747,52027810,49731913,45731769,11387140
2023-04-12,15,WI,12406265,12311375,11895876,11231755,3929361
2023-04-12,15,DD2,9408465,9381706,9189471,8669265,893455
2023-04-12,15,BP2,347741,347739,347739,347739,11922
2023-04-12,15,ND,1311591,1299888,1251693,1183514,386260
2023-04-12,15,VI,155023,154867,152209,144918,46026
2023-04-12,15,CA,88190622,87488454,83938302,78032141,20156036
2023-04-12,15,OR,9355292,9285389,8943765,8416149,2672730
2023-04-12,15,SC,8647892,8610416,8392682,7959647,2863455
2023-04-12,15,SD,1685651,1674734,1610957,1512005,528219
2023-04-12,15,NH,2973918,2956700,2874813,2713241,909109
2023-04-12,15,VA,19547911,19376423,18543964,17298162,4925063
2023-04-12,15,NY,45062005,44795841,43253530,40652452,10961055
2023-04-12,15,NC,19484892,19360109,18706214,17606688,5618505
2023-04-12,15,US,674711945,670301782,646464414,605944538,183143476
2023-04-12,15,MA,18116478,17940062,17170360,16070859,4543995
2023-04-12,15,IN,11170393,11120827,10777277,10168656,3423093
2023-04-12,15,HI,3511914,3488669,3349439,3136324,988922
2023-04-12,15,AS,115259,115236,102443,85712,9483
2023-04-12,15,FL,42150270,42056026,41140170,39075786,14505256
2023-04-12,15,UT,6151280,6095442,5795139,5284521,1292675
2023-04-12,15,AL,7005433,6986822,6848860,6514889,2239479
2023-04-05,14,MS,4298876,4292049,4199919,3971652,1332883
2023-04-05,14,MA,18107964,17932761,17164000,16065240,4542573
2023-04-05,14,IH2,2562152,2546234,2433126,2222902,478388
2023-04-05,14,IN,11165614,11116319,10773098,10164783,3421810
2023-04-05,14,OH,21031038,20884697,20244017,19174305,6639994
2023-04-05,14,MD,14662203,14521716,13886412,12904861,3607183
2023-04-05,14,NJ,19781190,19673172,18951135,17681131,4862008
2023-04-05,14,OR,9348880,9279838,8938733,8411496,2671440
2023-04-05,14,NM,4730715,4701963,4524714,4225790,1357552
2023-04-05,14,AK,1323092,1313371,1259260,1173193,285841
2023-04-05,14,WA,17627466,17440863,16728900,15686939,4512094
2023-04-05,14,HI,3509887,3486820,3347708,3134709,988352
2023-04-05,14,AZ,14584138,14509547,13963885,13017406,4436766
2023-04-05,14,AL,7003312,6984794,6846945,6513054,2238740
2023-04-05,14,WI,12399003,12304813,11889865,11226206,3927719
2023-04-05,14,PR,7834186,7822845,7474983,6900756,2047007
2023-04-05,14,UT,6142004,6087192,5787933,5278225,1291376
2023-04-05,14,GU,398814,397837,378239,341458,59022
2023-04-05,14,DD2,9403609,9377126,9185248,8665378,892936
2023-04-05,14,NC,19473851,19349846,18696881,17598254,5616559
2023-04-05,14,VI,154992,154836,152178,144888,46009
2023-04-05,14,MN,12772486,12625130,12066556,11302615,3619494
2023-04-05,14,AR,4861568,4842339,4706016,4424298,1499888
2023-04-05,14,PA,27472230,27255000,26309254,24830256,8453010
2023-04-05,14,TN,11277082,11236076,10978675,10455762,3514620
2023-04-05,14,KS,5370693,5327979,5132780,4800250,1584314
2023-04-05,14,AS,115254,115231,102438,85709,9483
2023-04-05,14,CO,12977718,12848249,12348064,11568653,3149771
2023-04-05,14,KY,7490523,7457476,7254656,6871034,2260116
2023-04-05,14,VA2,8671883,8671693,8671670,8668233,4753934
2023-04-05,14,VT,1753387,1732630,1657471,1556107,538806
2023-04-05,14,WV,3093269,3085898,3027771,2891804,1082523
2023-04-05,14,MP,118132,117331,107897,95040,10053
2023-04-05,14,DC,2119505,2089749,2007089,1913717,395821
2023-04-05,14,VA,19529843,19360474,18529615,17284989,4920972
2023-04-05,14,BP2,347649,347647,347647,347647,11918
2023-04-05,14,NH,2972205,2955156,2873395,2711917,908685
2023-04-05,14,ND,1310830,1299228,1251109,1182982,386136
2023-04-05,14,TX,52275393,51981173,49689481,45692904,11381079
2023-04-05,14,IL,26758958,26542046,25424678,23741770,6905953
2023-04-05,14,SD,1685474,1674569,1610812,1511867,528188
2023-04-05,14,NV,5570934,5555513,5408757,5089779,1496682
2023-04-05,14,ID,2882602,2869544,2790518,2634736,915077
2023-04-05,14,CA,88148491,87451283,83904011,78000582,20147630
2023-04-05,14,MT,1864045,1854870,1801519,1710732,647229
2023-04-05,14,PW,51961,51832,49006,45206,5682
2023-04-05,14,SC,8644460,8607293,8389784,7956942,2862386
2023-04-05,14,MH,97120,94028,83113,71269,4561
2023-04-05,14,MO,10478204,10407948,10100075,9553909,3258748
2023-04-05,14,CT,9012407,8952545,8629224,8058104,2470144
2023-04-05,14,RI,2661588,2643545,2553126,2401280,729166
2023-04-05,14,GA,17071819,16994820,16498220,15497111,4388747
2023-04-05,14,ME,3524017,3495921,3381151,3205338,1193393
2023-04-05,14,MI,18701700,18579208,17996685,17038972,5801395
2023-04-05,14,LA,6946657,6930847,6782582,6430483,2083944
2023-04-05,14,NE,3808672,3781412,3635580,3401157,1112148
2023-04-05,14,US,674375206,669997822,646186844,605690676,183075232
2023-04-05,14,NY,45043908,44779537,43238495,40638877,10957102
2023-04-05,14,FM,208521,201168,169098,142885,11710
2023-04-05,14,OK,6755430,6735033,6566997,6191264,1985780
2023-04-05,14,DE,2164502,2152573,2084420,1961025,706828
2023-04-05,14,IA,6112609,6070510,5874845,5547222,2001984
2023-04-05,14,FL,42127275,42033793,41119114,39056075,14499397
2023-04-05,14,WY,851602,848979,829336,788512,283350
2023-03-29,13,WA,17613573,17428822,16718033,15676937,4509760
2023-03-29,13,WI,12391204,12297775,11883417,11220257,3925892
2023-03-29,13,MN,12762417,12616480,12058744,11295472,3617704
2023-03-29,13,MA,18095744,17921938,17154289,16056483,4540287
2023-03-29,13,KS,5367667,5325265,5130295,4797952,1583617
2023-03-29,13,VI,154988,154832,152174,144884,46006
2023-03-29,13,NC,19465037,19341967,18689741,17591677,5614641
2023-03-29,13,CA,88097744,87405862,83862222,77961950,20137339
2023-03-29,13,TX,52238661,51947061,49657968,45663649,11374838
2023-03-29,13,VA,19529318,19359970,18529154,17284553,4920843
2023-03-29,13,NV,5570723,5555303,5408554,5089579,1496574
2023-03-29,13,MT,1863936,1854763,1801423,1710645,647211
2023-03-29,13,AL,7000769,6982457,6844737,6510977,2237919
2023-03-29,13,GA,17062344,16985969,16489952,15489307,4386296
2023-03-29,13,MI,18691671,18570090,17988317,17031164,5798841
2023-03-29,13,NH,2970130,2953288,2871657,2710280,908212
2023-03-29,13,DE,2163552,2151710,2083653,1960339,706574
2023-03-29,13,OR,9342002,9273816,8933299,8406512,2670033
2023-03-29,13,PA,27469210,27252442,26307022,24828275,8452335
2023-03-29,13,MP,118030,117243,107832,94981,10045
2023-03-29,13,IN,11159458,11110482,10767749,10159845,3420118
2023-03-29,13,BP2,347647,347645,347645,347645,11918
2023-03-29,13,AS,115241,115218,102427,85702,9482
2023-03-29,13,CT,9008532,8949025,8626001,8055179,2469329
2023-03-29,13,DD2,9399218,9372933,9181351,8661760,892514
2023-03-29,13,KY,7487657,7454803,7252169,6868681,2259457
2023-03-29,13,VT,1751909,1731343,1656307,1555054,538436
2023-03-29,13,WV,3092330,3084998,3026910,2890994,1082204
2023-03-29,13,LA,6944289,6928564,6780388,6428383,2083154
2023-03-29,13,RI,2659512,2641636,2551343,2399637,728674
2023-03-29,13,DC,2117851,2088185,2005666,1912440,395581
2023-03-29,13,ID,2880105,2867130,2788151,2632419,914122
2023-03-29,13,FL,42102422,42009681,41096238,39034358,14492635
2023-03-29,13,US,674024493,669678840,645893459,605418622,182995617
2023-03-29,13,ND,1309947,1298485,1250456,1182398,385998
2023-03-29,13,GU,397641,396697,377178,340467,58791
2023-03-29,13,AZ,14573049,14499127,13954403,13008697,4434132
